id,orderId,date,productCategory,quantity,revenue,cost,profit,channel
S001,ORD-001,2025-06-01,Pakaian,2,178000,84000,94000,Shopee
S002,ORD-001,2025-06-01,Tas,1,125000,55000,70000,Shopee
S003,ORD-002,2025-06-01,Sepatu,1,320000,150000,170000,TikTok Shop
S004,ORD-003,2025-06-02,Pakaian,1,210000,95000,115000,Tokopedia
S005,ORD-003,2025-06-02,Aksesoris,1,235000,100000,135000,Tokopedia
S006,ORD-004,2025-06-02,Pakaian,1,89000,42000,47000,Shopee
S007,ORD-004,2025-06-02,Aksesoris,1,95000,40000,55000,Shopee
S008,ORD-005,2025-06-03,Aksesoris,1,350000,165000,185000,TikTok Shop
S009,ORD-006,2025-06-03,Pakaian,1,175000,85000,90000,Shopee
S010,ORD-006,2025-06-03,Tas,2,220000,110000,110000,Shopee
S011,ORD-007,2025-06-04,Tas,1,195000,88000,107000,WhatsApp
S012,ORD-007,2025-06-04,Pakaian,1,190000,82000,108000,WhatsApp
S013,ORD-008,2025-06-04,Pakaian,2,385000,180000,205000,Tokopedia
S014,ORD-008,2025-06-04,Tas,2,320000,170000,150000,Tokopedia
S015,ORD-010,2025-06-05,Pakaian,2,340000,170000,170000,TikTok Shop
S016,ORD-010,2025-06-05,Sepatu,1,275000,130000,145000,TikTok Shop
S017,ORD-010,2025-06-05,Aksesoris,2,340000,160000,180000,TikTok Shop
S018,ORD-011,2025-06-06,Sepatu,1,185000,82000,103000,Shopee
S019,ORD-011,2025-06-06,Aksesoris,1,65000,30000,35000,Shopee
S020,ORD-012,2025-06-06,Aksesoris,1,95000,40000,55000,WhatsApp
