id,orderId,carrier,trackingNumber,shipDate,estimatedDelivery,actualDelivery,status,weight,cost
SHP-001,ORD-001,JNE,JNE9876543210,2025-06-01,2025-06-03,2025-06-03,Delivered,0.8,14000
SHP-002,ORD-002,J&T,JT1234567890,2025-06-02,2025-06-04,2025-06-04,Delivered,0.5,12000
SHP-003,ORD-003,SiCepat,SCP5566778899,2025-06-02,2025-06-05,2025-06-04,Delivered,1.2,18000
SHP-004,ORD-004,JNE,JNE1122334455,2025-06-03,2025-06-05,2025-06-05,Delivered,0.6,13000
SHP-005,ORD-005,AnterAja,AA9988776655,2025-06-03,2025-06-07,2025-06-06,Delivered,0.4,20000
SHP-006,ORD-006,SiCepat,SCP4455667788,2025-06-04,2025-06-06,2025-06-06,Delivered,1.5,16000
SHP-007,ORD-007,J&T,JT7788990011,2025-06-04,2025-06-06,2025-06-06,Delivered,0.7,14000
SHP-008,ORD-008,JNE,JNE3344556677,2025-06-05,2025-06-08,2025-06-08,Delivered,2.0,22000
SHP-009,ORD-011,AnterAja,AA6677889900,2025-06-07,2025-06-09,2025-06-09,Delivered,0.9,15000
SHP-010,ORD-016,SiCepat,SCP2233445566,2025-06-09,2025-06-11,,In Transit,0.6,13000
SHP-011,ORD-017,JNE,JNE8899001122,2025-06-10,2025-06-12,,In Transit,0.8,15000
SHP-012,ORD-019,J&T,JT5566778899,2025-06-10,2025-06-12,,In Transit,0.3,11000
SHP-013,ORD-021,AnterAja,AA4455667788,2025-06-12,2025-06-16,,Out for Delivery,0.7,25000
SHP-014,ORD-022,JNE,JNE6677889900,2025-06-12,2025-06-15,,In Transit,0.4,18000
